question_id,set,demo_priority,category,expected_route,expected_winner,question,expected_answer,method,type,has_score,judge_variant,is_correct_binary,temporal_score,is_latest_info_captured,knowledge_update_score,factuality_score,completeness_score,hallucination_control_score,final_judgment,expert_notes,judge_input_tokens,judge_output_tokens,judge_total_tokens,judge_token_source
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,Structured,Evidence,no,temporal_evolution,No,2,,,,,,,,786,167,2847,actual_usage_metadata
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,RAG,Answer,no,temporal_evolution,No,1,,,,,,,,873,136,2228,actual_usage_metadata
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,RAG,Evidence,no,temporal_evolution,No,2,,,,,,,,595,139,2098,actual_usage_metadata
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,Full transcript,Answer,no,temporal_evolution,Yes,5,,,,,,,,1165,150,2526,actual_usage_metadata
VM-E03,core,high,topic_synthesis,long_term,Long-Term L1 + L2 or Hybrid,我們對 transcript segmentation / idea unit 切分策略的設計方向是怎麼演進的？從 0408 到 0506 的主要轉折是什麼？,0408 還在討論要不要先把 transcript 切成比較小單位；0422 轉向 tool calling / iterative reading，強調讓模型自己決定 read 多大範圍；0506 則落到固定 80 行 window、segment plus idea unit、verify plus repair，並把 adaptive segmentation 暫時視為效果不佳的方向。,Full transcript,Evidence,no,temporal_evolution,Yes,5,,,,,,,,1215,164,2486,actual_usage_metadata
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,Structured,Answer,no,decision_update,,,Yes,5,,,,,,796,119,2160,actual_usage_metadata
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,Structured,Evidence,no,decision_update,,,Yes,5,,,,,,580,135,1858,actual_usage_metadata
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,RAG,Answer,no,decision_update,,,Yes,5,,,,,,790,124,2198,actual_usage_metadata
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,RAG,Evidence,no,decision_update,,,Yes,5,,,,,,530,118,1756,actual_usage_metadata
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,Full transcript,Answer,no,decision_update,,,Yes,5,,,,,,833,143,2195,actual_usage_metadata
VM-E04,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼最後沒有採用 adaptive segmentation，而是改成 fixed 80-line + verify/repair？,adaptive 方案在既有實驗裡讓 rejected 增加、verify 降低，邊界預測不準時仍要補邊界處理，優勢被抵銷；相較之下 fixed window 雖粗，但配合 verify、gap filling、repair，比較穩定、可檢查，也較符合 LLM 可以消化較大 chunk 的實際能力。,Full transcript,Evidence,no,decision_update,,,Yes,5,,,,,,1124,116,2187,actual_usage_metadata
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,Structured,Answer,yes,three_layer,,,,,5,2,5,Yes,"模型回答的正確性極高，不僅涵蓋標準答案的所有核心概念（importance 的靜態性、activation 的動態衰減、relevance 的語義檢索），更引用了具體的會議 ID (L1-0506-030) 來佐證其論點，結構清晰且資訊量豐富。幻覺控制表現完美，所有術語均準確無誤。主要缺點在於完整性，雖然使用了 L1，但未能回憶並整合如 Object, Context Planner 等其他專案核心術語，顯示其在回答特定問題時，未能充分利用更廣泛的背景知識。",1002,194,3124,actual_usage_metadata
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,Structured,Evidence,yes,three_layer,,,,,5,5,5,Yes,模型準確地闡述了 memory node 分數設計的三個核心組成：Importance、Activation/Recency、Relevance。不僅定義正確，更點出了將「靜態歷史重要性」與「動態時間活躍度」分離的設計理念，展現了對問題核心的深刻理解。此外，模型還能從資料中提取如「提及頻率」、「使用者可調整」等具體實作細節，使回答更加豐富且具體，表現優異。,724,161,2255,actual_usage_metadata
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,RAG,Answer,yes,three_layer,,,,,5,5,5,Yes,模型回答的結構清晰，準確地將 memory node 的評分機制拆解為 importance、activation、recency、relevance 四個面向，並分別闡述其功能。亮點在於，模型不僅定義了各個分數的用途，更進一步解釋了其背後的設計理念，例如「為了保留『當時重要』和『現在活躍』這兩種不同訊號」而將 importance 與 activation/recency 分開處理。此外，模型能引用上下文（如 [0506#chunk-12]）來佐證其論述，並誠實地指出組合公式等資訊在上下文中付之闕如，展現了極高的事實準確性和抗幻覺能力。,1133,211,2825,actual_usage_metadata
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,RAG,Evidence,yes,three_layer,,,,,5,5,5,Yes,模型回答精準，且比標準答案更為詳盡。它成功整合了多個資訊來源，清晰地闡述了 importance、activation、recency、relevance 四個分數的定義與互動關係，特別是點出「importance 會為 recency 設定衰退下限」此一關鍵機制，展現了優異的細節掌握與資訊整合能力。,822,138,2944,actual_usage_metadata
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,Full transcript,Answer,yes,three_layer,,,,,5,5,5,Yes,"模型不僅正確回答了問題，其答案的細緻程度甚至超越了標準答案。亮點在於：1. 準確綜合了多次會議 (0325, 0408, 0506) 的結論。2. 正確闡述了 importance 作為 recency 衰退下限 (floor) 的關鍵設計，這是理解整個分數系統的核心。3. 提及 'Residency' 這個歷史用詞，展現了對專案演進的深度記憶。整體表現堪稱完美，充分展現了結構化記憶系統的價值。",1016,184,2446,actual_usage_metadata
VM-E05,core,medium,recent_context,short_term,Short-Term only or Hybrid,目前的 memory node 分數設計是什麼？importance、activation 或 recency、relevance 各自負責什麼？,importance 是建立 node 當下的相對重要性，不應被後續 decay 直接改寫； activation 或 recency 是動態活躍度，會隨時間下降； relevance 是 retrieve 時的 semantic similarity。三者分開是為了保留「當時重要」和「現在活躍」這兩種不同訊號。,Full transcript,Evidence,yes,three_layer,,,,,5,5,5,Yes,"模型成功地整合了來自多個會議 (0325, 0408, 0506) 的資訊，準確地闡述了 importance、activation、recency 和 relevance 四個分數的定義與彼此間的關係。特別值得稱讚的是，模型正確捕捉到了「importance 為 recency 提供衰退下限 (floor)」以及「activation 是在 importance 之外新增的活躍度參數」等關鍵設計細節。此外，模型還能根據證據指出「整體分數公式與權重仍在討論」，展現了極高的完整性和對事實的忠實度。",1224,187,2913,actual_usage_metadata
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,Structured,Answer,no,temporal_evolution,Yes,5,,,,,,,,942,145,2177,actual_usage_metadata
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,Structured,Evidence,no,temporal_evolution,Yes,5,,,,,,,,873,136,2111,actual_usage_metadata
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,RAG,Answer,no,temporal_evolution,No,2,,,,,,,,792,145,2235,actual_usage_metadata
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,RAG,Evidence,no,temporal_evolution,No,3,,,,,,,,782,165,2453,actual_usage_metadata
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,Full transcript,Answer,no,temporal_evolution,Yes,5,,,,,,,,1486,175,2936,actual_usage_metadata
VM-E06,core,high,topic_synthesis,long_term,Long-Term L1 + L2,我們的 forgetting / fade-out 設計是怎麼演進的？從 0307 的三次會議刪除、0325/0408 的 floor 機制，到 0429/0506 的 fade-out 與 activation 各自代表什麼？,0307 的 forgetting 比較像 STM rolling window，三次沒提就刪；0325 和 0408 開始把 long-term retrieval 想成 time decay plus floor，保留高重要性舊事件；0429 進一步把 fade-out 定義成「平常對話不主動吐出，但仍可 explicit retrieve」；0506 再把 importance、activation 或 recency、relevance 分離，讓 decay 不會破壞原始 importance 訊號。,Full transcript,Evidence,no,temporal_evolution,Yes,5,,,,,,,,836,130,2087,actual_usage_metadata
VM-E07,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼標準 RAG 或 full transcript baseline 不足以處理研究會議記憶？,full transcript 與 raw RAG 都應該作為 baseline，但它們不擅長追蹤 topic lifecycle、被放棄的方向、以及跨時間的 decision status。標準 RAG 會抓到「曾經提過」的內容，卻不一定理解那件事後來被否決、淡出或轉向；這也是 custom memory structure 要證明的價值。,Structured,Answer,no,decision_update,,,Yes,5,,,,,,823,159,2503,actual_usage_metadata
VM-E07,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼標準 RAG 或 full transcript baseline 不足以處理研究會議記憶？,full transcript 與 raw RAG 都應該作為 baseline，但它們不擅長追蹤 topic lifecycle、被放棄的方向、以及跨時間的 decision status。標準 RAG 會抓到「曾經提過」的內容，卻不一定理解那件事後來被否決、淡出或轉向；這也是 custom memory structure 要證明的價值。,Structured,Evidence,no,decision_update,,,Yes,5,,,,,,773,129,1982,actual_usage_metadata
VM-E07,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼標準 RAG 或 full transcript baseline 不足以處理研究會議記憶？,full transcript 與 raw RAG 都應該作為 baseline，但它們不擅長追蹤 topic lifecycle、被放棄的方向、以及跨時間的 decision status。標準 RAG 會抓到「曾經提過」的內容，卻不一定理解那件事後來被否決、淡出或轉向；這也是 custom memory structure 要證明的價值。,RAG,Answer,no,decision_update,,,No,2,,,,,,696,143,1979,actual_usage_metadata
VM-E07,core,high,decision_reasoning,long_term,Long-Term L1 + L2,為什麼標準 RAG 或 full transcript baseline 不足以處理研究會議記憶？,full transcript 與 raw RAG 都應該作為 baseline，但它們不擅長追蹤 topic lifecycle、被放棄的方向、以及跨時間的 decision status。標準 RAG 會抓到「曾經提過」的內容，卻不一定理解那件事後來被否決、淡出或轉向；這也是 custom memory structure 要證明的價值。,RAG,Evidence,no,decision_update,,,No,2,,,,,,479,126,1915,actual_usage_metadata
